"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_46","Sample_47","Sample_48","Sample_49","Sample_50","Sample_51","Sample_52","Sample_53","Sample_54","Sample_55","Sample_56","Sample_57","Sample_58","Sample_59","Sample_60","Sample_61","Sample_62","Sample_63","Sample_64","Sample_65","Sample_66","Sample_67","Sample_68","Sample_69","Sample_70","Sample_71","Sample_72","Sample_73","Sample_74","Sample_75","Sample_76","Sample_77","Sample_78","Sample_79","Sample_80","Sample_81","Sample_82","Sample_83","Sample_84","Sample_85","Sample_86","Sample_87","Sample_88","Sample_89","Sample_90","Sample_91","Sample_92","Sample_93","Sample_94","Sample_95","Sample_96","Sample_97","Sample_98","Sample_99","Sample_100"
"Harryflintia_acetispora",0,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoflavonifractor_sp_An184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_leptum",0,0,3340,0,0,0,5694,0,0,0,0,0,131,0,1246,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1091,0,0,0,0,0,0,0,0,0,0,710,158,0,1199
"Eubacterium_siraeum",0,0,0,635776,0,259,0,0,4211,8278,0,0,0,0,0,0,0,8166,0,380,0,60193,0,88310,0,0,0,4100,0,343,0,62160,20072,0,0,99546,0,0,9308,0,164431,0,160298,0,14588,84144,0,0,1551,0,119,48634,160766,0,12438,91789,3894,0,0,21151,162,0,18965,102434,0,9076,8468,0,67555,0,379210,10408,42220,0,0,13515,0,0,1488,0,476,109807,0,91092,0,0,0,61000,0,0,1324,39587,214433,0,0,2255,6307,0,81331,6923
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0,0,0,0,0,1115,6639,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,267,0,0,0,205,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,3064,0,0,0,473,0,0,0,0,0,0,0,2883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,3397
"Ruminococcaceae_bacterium_D5",0,10764,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,2893,0,0,544,0,0,0,0,0,307,8974,0,0,0,0,0,0,0,1708,0,0,0,0,0,0,690,0,0,0,1052,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,0,0
"Ruminococcus_bicirculans",5040,17057,0,0,15876,99601,0,4513,91,10130,43695,4998,0,0,14041,5078,77988,0,0,0,0,10032,0,0,45781,115761,43975,22322,11997,75000,0,18061,798,0,0,0,55893,129027,0,74926,12843,0,0,1208,803,3494,17072,64410,13385,0,14086,0,10954,0,24198,0,3426,0,9710,12179,9477,7170,0,13348,42883,3936,119869,27730,0,23835,0,0,2853,0,32039,0,4234,0,63146,106076,0,0,12238,14320,197589,44,3828,40117,60878,0,17140,0,79664,0,443,65219,169423,0,12861,80653
"Ruminococcus_bromii",0,8794,15208,10687,21804,23596,0,11448,6270,427,21460,27184,0,0,4802,0,0,7840,0,8998,17036,4588,6349,3709,0,0,59844,25751,7114,0,0,8381,33599,0,566,0,0,56147,28095,0,0,41535,0,14324,1140,26069,25963,0,23735,2072,0,0,7976,12580,2269,0,26803,0,13184,0,6383,0,3436,16175,0,14730,84729,0,0,116363,29141,0,16539,0,0,0,13114,0,10979,0,42672,1406,12283,21034,35335,7461,0,0,36064,0,0,24829,35124,0,4909,20637,0,0,0,11299
"Ruminococcus_callidus",0,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_champanellensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63835,0,0,0,0,10170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9447,0,0,0,0,0
"Ruminococcus_lactaris",0,6529,5416,4893,0,1583,0,7413,8196,5374,0,2027,0,4415,25206,142,0,3526,12598,2781,5440,204,0,0,12624,0,0,1484,1040,19642,0,11052,0,0,4706,5040,18827,2447,2840,3148,3221,0,0,4325,0,0,7246,0,4215,0,0,936,6854,9079,28,7023,2854,0,9011,10181,13204,2973,4810,0,0,1217,0,0,0,0,0,0,0,0,0,3766,0,2992,705,9421,9929,0,0,0,10705,5833,3347,2604,6376,0,7499,2715,0,0,367,0,23062,485,7917,19116
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,1212,0,194,0,0,0,0,0,0,0,0,0,0,594,0,0,0,432,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,185,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_330",0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
